time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
71,PHYS,0.03781352876220311,0.455680917704977,0.00016308427199303587,40,0.4,1.0,1.0
72,PHYS,0.03802467700717202,0.45568091770496144,0.0001630842719947692,40,0.4,1.0,1.0
73,PHYS,0.03819592967429422,0.4556809177049471,0.00016308427199386092,40,0.4,1.0,1.0
74,PHYS,0.03841122704064311,0.45568091770493285,0.00016308427199791087,40,0.4,1.0,1.0
75,PHYS,0.03868126285924074,0.4556809177049207,0.0001630842719985863,40,0.4,1.0,1.0
76,PHYS,0.03883561407575008,0.4556809177049054,0.0001630842720007658,40,0.4,1.0,1.0
77,PHYS,0.039016403643658236,0.45568091770488917,0.00016308427199968612,40,0.4,1.0,1.0
78,PHYS,0.0394786458289474,0.4556809177048768,0.0001630842720042866,40,0.4,1.0,1.0
79,PHYS,0.040148734854752594,0.45568091770486463,0.00016308427200602342,40,0.4,1.0,1.0
80,PHYS,0.04056593039942884,0.45568091770484936,0.000163084272007018,40,0.4,1.0,1.0
81,PHYS,0.040722254228017556,0.4556809177048346,0.00016308427200715999,40,0.4,1.0,1.0
82,PHYS,0.04084115924014848,0.4556809177048212,0.00016308427201056351,40,0.4,1.0,1.0
83,PHYS,0.040808473915452594,0.45568091770480923,0.00016308427200935894,40,0.4,1.0,1.0
84,PHYS,0.040485541720808364,0.45568091770479313,0.00016308427201324887,40,0.4,1.0,1.0
85,PHYS,0.040332747798706534,0.45568091770478125,0.00016308427201539602,40,0.4,1.0,1.0
86,PHYS,0.04056633325830684,0.4556809177047656,0.0001630842720166956,40,0.4,1.0,1.0
87,PHYS,0.04079726423053885,0.45568091770475405,0.00016308427201697367,40,0.4,1.0,1.0
88,PHYS,0.04096546702058002,0.4556809177047372,0.00016308427201958963,40,0.4,1.0,1.0
89,PHYS,0.041410679398656974,0.45568091770472474,0.00016308427201947305,40,0.4,1.0,1.0
